Motherboard;VideoCard;Processor;RAM1;RAM2;ROM1;ROM2;Cooler;PowerBlock;Corpus;Monitor1;Monitor2;Monitor3;AudioSystem;AudioCard;summary;timestamp
55298;175460;61876;24998;24998;27082;35414;15153;8779;3150;78666;78666;100936;14582;8407;713465;2022-06-23 01:33:46.845707
55298;175460;61876;24998;24998;27082;34249;15153;8779;3150;78666;78666;100936;14582;8407;712300;2022-06-23 13:13:43.374409
55409;175491;61876;24999;24999;27086;34243;15183;8772;3156;78824;78824;100941;14612;8176;712591;2022-06-23 19:00:04.795308
55409;175491;47613;24999;24999;27086;34243;15183;0;0;0;0;0;0;0;405023;2022-06-24 12:10:36.441785
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-06-24 12:11:54.574748
55409;175491;47613;24999;24999;27086;34243;15183;0;0;0;0;0;0;0;405023;2022-06-24 13:00:08.033189
55409;175491;47613;24999;24999;27086;34243;15183;8772;0;0;0;0;0;0;413795;2022-06-24 13:26:50.452665
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022-06-24 14:00:10.351319
55409;175491;53030;24999;24999;27086;34243;15183;8772;0;0;0;0;0;0;419212;2022-06-24 15:00:05.754978
55409;175491;53030;24999;24999;27086;34243;15183;0;0;0;0;0;0;0;410440;2022-06-24 16:00:08.262780
55298;172112;52923;24949;24949;27032;34174;15153;0;0;0;0;0;0;0;406590;2022-06-24 19:00:11.517353
55298;172434;52923;24998;24998;27082;34249;15153;0;0;0;0;0;0;0;407135;2022-06-24 21:00:14.156129
55298;172434;52923;24998;24998;27082;36332;15153;0;0;0;0;0;0;0;409218;2022-06-27 14:00:07.550545
55409;172782;53030;25049;25049;27136;36405;15183;0;0;0;0;0;0;0;410043;2022-06-27 18:00:08.042636
55409;172459;53030;24999;24999;27086;36405;15183;0;0;0;0;0;0;0;409570;2022-06-27 20:00:11.399851
55409;172459;53030;24999;24999;27086;36405;15183;8399;0;0;0;0;0;0;417969;2022-06-27 23:00:07.230811
55409;172459;53030;24999;24999;27086;36405;15183;0;0;0;0;0;0;0;409570;2022-06-28 00:00:06.855920
55409;172459;53030;24999;24999;27086;36405;15183;8399;0;0;0;0;0;0;417969;2022-06-28 01:00:06.813435
